city_ascii,lat,lng
Toronto,43.7417,-79.3733
Montreal,45.5089,-73.5617
Vancouver,49.25,-123.1
Calgary,51.05,-114.0667
Edmonton,53.5344,-113.4903
Ottawa,45.4247,-75.695
Mississauga,43.6,-79.65
Winnipeg,49.8844,-97.1464
Quebec City,46.8139,-71.2081
Hamilton,43.2567,-79.8692
Brampton,43.6833,-79.7667
Surrey,49.19,-122.8489
Kitchener,43.4186,-80.4728
Laval,45.5833,-73.75
Halifax,44.6475,-63.5906
London,42.9836,-81.2497
Victoria,48.4283,-123.3647
Markham,43.8767,-79.2633
St. Catharines,43.1833,-79.2333
Niagara Falls,43.06,-79.1067
